conjunto,Type,faixa_desgaste,registros,falhas,taxa_falha
teste,H,0-99 min,96,1,0.01041666667
teste,H,100-199 min,94,2,0.02127659574
teste,H,200+ min,24,2,0.08333333333
teste,L,0-99 min,525,9,0.01714285714
teste,L,100-199 min,543,12,0.02209944751
teste,L,200+ min,102,17,0.1666666667
teste,M,0-99 min,276,4,0.01449275362
teste,M,100-199 min,291,14,0.04810996564
teste,M,200+ min,49,7,0.1428571429
treino,H,0-99 min,268,4,0.01492537313
treino,H,100-199 min,279,6,0.02150537634
treino,H,200+ min,37,4,0.1081081081
treino,L,0-99 min,1707,46,0.02694786175
treino,L,100-199 min,1634,45,0.02753977968
treino,L,200+ min,283,48,0.1696113074
treino,M,0-99 min,842,21,0.02494061758
treino,M,100-199 min,818,16,0.0195599022
treino,M,200+ min,132,13,0.09848484848
validacao,H,0-99 min,103,0,0
validacao,H,100-199 min,88,0,0
validacao,H,200+ min,14,2,0.1428571429
validacao,L,0-99 min,522,14,0.02681992337
validacao,L,100-199 min,566,17,0.03003533569
validacao,L,200+ min,118,27,0.2288135593
validacao,M,0-99 min,281,4,0.01423487544
validacao,M,100-199 min,266,1,0.003759398496
validacao,M,200+ min,42,3,0.07142857143
