UDI,Machine failure,TWF,HDF,PWF,OSF,RNF
1222,0,0,0,0,0,1
1303,0,0,0,0,0,1
1438,1,0,0,0,0,0
1749,0,0,0,0,0,1
2073,0,0,0,0,0,1
2560,0,0,0,0,0,1
2750,1,0,0,0,0,0
3066,0,0,0,0,0,1
3453,0,0,0,0,0,1
4045,1,0,0,0,0,0
4685,1,0,0,0,0,0
5472,0,0,0,0,0,1
5490,0,0,0,0,0,1
5496,0,0,0,0,0,1
5510,0,0,0,0,0,1
5537,1,0,0,0,0,0
5554,0,0,0,0,0,1
5640,0,0,0,0,0,1
5942,1,0,0,0,0,0
6092,0,0,0,0,0,1
6479,1,0,0,0,0,0
6914,0,0,0,0,0,1
6961,0,0,0,0,0,1
7489,0,0,0,0,0,1
7869,0,0,0,0,0,1
8507,1,0,0,0,0,0
9016,1,0,0,0,0,0
