limiar,n,falhas,average_precision,roc_auc,precisao,recall,f2,acuracia,tn,fp,fn,tp,alertas,custo_relativo
0.01,2000,68,0.5479966235,0.9646510778,0.06460945034,0.9852941176,0.25592055,0.5145,962,970,1,67,1037,980
0.02,2000,68,0.5479966235,0.9646510778,0.09544159544,0.9852941176,0.3439425051,0.682,1297,635,1,67,702,645
0.03,2000,68,0.5479966235,0.9646510778,0.1198568873,0.9852941176,0.4031287605,0.7535,1440,492,1,67,559,502
0.04,2000,68,0.5479966235,0.9646510778,0.1361788618,0.9852941176,0.4384816754,0.787,1507,425,1,67,492,435
0.05,2000,68,0.5479966235,0.9646510778,0.1509009009,0.9852941176,0.467877095,0.811,1555,377,1,67,444,387
0.06,2000,68,0.5479966235,0.9646510778,0.1662531017,0.9852941176,0.4962962963,0.8315,1596,336,1,67,403,346
0.07,2000,68,0.5479966235,0.9646510778,0.179144385,0.9852941176,0.5185758514,0.846,1625,307,1,67,374,317
0.08,2000,68,0.5479966235,0.9646510778,0.1919770774,0.9852941176,0.539452496,0.8585,1650,282,1,67,349,292
0.09,2000,68,0.5479966235,0.9646510778,0.2030769231,0.9705882353,0.5527638191,0.8695,1673,259,2,66,325,279
0.1,2000,68,0.5479966235,0.9646510778,0.2115384615,0.9705882353,0.5650684932,0.876,1686,246,2,66,312,266
0.11,2000,68,0.5479966235,0.9646510778,0.2181208054,0.9558823529,0.5701754386,0.882,1699,233,3,65,298,263
0.12,2000,68,0.5479966235,0.9646510778,0.2245614035,0.9411764706,0.5745062837,0.8875,1711,221,4,64,285,261
0.13,2000,68,0.5479966235,0.9646510778,0.231884058,0.9411764706,0.5839416058,0.892,1720,212,4,64,276,252
0.14,2000,68,0.5479966235,0.9646510778,0.2442748092,0.9411764706,0.5992509363,0.899,1734,198,4,64,262,238
0.15,2000,68,0.5479966235,0.9646510778,0.2470119522,0.9117647059,0.5927342256,0.9025,1743,189,6,62,251,249
0.16,2000,68,0.5479966235,0.9646510778,0.2605042017,0.9117647059,0.6078431373,0.909,1756,176,6,62,238,236
0.17,2000,68,0.5479966235,0.9646510778,0.2780269058,0.9117647059,0.6262626263,0.9165,1771,161,6,62,223,221
0.18,2000,68,0.5479966235,0.9646510778,0.2803738318,0.8823529412,0.6172839506,0.919,1778,154,8,60,214,234
0.19,2000,68,0.5479966235,0.9646510778,0.29,0.8529411765,0.6144067797,0.924,1790,142,10,58,200,242
0.2,2000,68,0.5479966235,0.9646510778,0.3068783069,0.8529411765,0.6290672451,0.9295,1801,131,10,58,189,231
0.21,2000,68,0.5479966235,0.9646510778,0.3186813187,0.8529411765,0.6387665198,0.933,1808,124,10,58,182,224
0.22,2000,68,0.5479966235,0.9646510778,0.3275862069,0.8382352941,0.6390134529,0.936,1815,117,11,57,174,227
0.23,2000,68,0.5479966235,0.9646510778,0.3333333333,0.8235294118,0.6363636364,0.938,1820,112,12,56,168,232
0.24,2000,68,0.5479966235,0.9646510778,0.3354037267,0.7941176471,0.623556582,0.9395,1825,107,14,54,161,247
0.25,2000,68,0.5479966235,0.9646510778,0.357615894,0.7941176471,0.6382978723,0.9445,1835,97,14,54,151,237
0.26,2000,68,0.5479966235,0.9646510778,0.3673469388,0.7941176471,0.6443914081,0.9465,1839,93,14,54,147,233
0.27,2000,68,0.5479966235,0.9646510778,0.3776223776,0.7941176471,0.6506024096,0.9485,1843,89,14,54,143,229
0.28,2000,68,0.5479966235,0.9646510778,0.3970588235,0.7941176471,0.6617647059,0.952,1850,82,14,54,136,222
0.29,2000,68,0.5479966235,0.9646510778,0.4060150376,0.7941176471,0.6666666667,0.9535,1853,79,14,54,133,219
0.3,2000,68,0.5479966235,0.9646510778,0.4173228346,0.7794117647,0.664160401,0.9555,1858,74,15,53,127,224
0.31,2000,68,0.5479966235,0.9646510778,0.4274193548,0.7794117647,0.6691919192,0.957,1861,71,15,53,124,221
0.32,2000,68,0.5479966235,0.9646510778,0.4396551724,0.75,0.6572164948,0.959,1867,65,17,51,116,235
0.33,2000,68,0.5479966235,0.9646510778,0.4495412844,0.7205882353,0.6430446194,0.9605,1872,60,19,49,109,250
