UDI,conjunto
1,treino
2,teste
3,treino
4,treino
5,teste
6,teste
7,treino
8,validacao
9,treino
10,teste
11,validacao
12,teste
13,treino
14,teste
15,validacao
16,treino
17,treino
18,treino
19,treino
20,treino
21,teste
22,teste
23,treino
24,treino
25,treino
26,treino
27,treino
28,teste
29,validacao
30,treino
31,treino
32,treino
33,validacao
34,validacao
35,treino
36,teste
37,treino
38,treino
39,teste
40,treino
41,validacao
42,treino
43,teste
44,treino
45,treino
46,validacao
47,treino
48,validacao
49,treino
50,treino
51,treino
52,validacao
53,validacao
54,treino
55,treino
56,teste
57,teste
58,treino
59,validacao
60,treino
61,treino
62,teste
63,treino
64,treino
65,treino
66,teste
67,treino
68,treino
69,treino
70,treino
71,treino
72,treino
73,treino
74,treino
75,treino
76,treino
77,teste
78,treino
79,treino
80,treino
81,teste
82,validacao
83,treino
84,treino
85,validacao
86,treino
87,treino
88,treino
89,validacao
90,treino
91,treino
92,treino
93,teste
94,treino
95,treino
96,treino
97,treino
98,teste
99,validacao
100,treino
101,validacao
102,teste
103,treino
104,treino
105,treino
106,treino
107,treino
108,treino
109,teste
110,treino
111,treino
112,treino
113,validacao
114,treino
115,validacao
116,validacao
117,treino
118,treino
119,validacao
120,teste
121,teste
122,treino
123,validacao
124,treino
125,treino
126,treino
127,treino
128,treino
129,teste
130,teste
131,validacao
132,teste
133,teste
134,teste
135,validacao
136,treino
137,teste
138,treino
139,treino
140,treino
141,teste
142,treino
143,treino
144,teste
145,validacao
146,treino
147,treino
148,treino
149,teste
150,validacao
151,validacao
152,validacao
153,treino
154,treino
155,treino
156,treino
157,teste
158,teste
159,treino
160,validacao
161,validacao
162,treino
163,treino
164,teste
165,validacao
166,treino
167,teste
168,treino
169,treino
170,validacao
171,treino
172,treino
173,treino
174,treino
175,treino
176,treino
177,treino
178,treino
179,treino
180,treino
181,validacao
182,validacao
183,treino
184,treino
185,validacao
186,treino
187,treino
188,validacao
189,treino
190,treino
191,treino
192,treino
193,treino
194,validacao
195,validacao
196,treino
197,teste
198,teste
199,validacao
200,validacao
201,validacao
202,treino
203,treino
204,validacao
205,teste
206,treino
207,validacao
208,treino
209,treino
210,validacao
211,teste
212,validacao
213,validacao
214,validacao
215,teste
216,teste
217,validacao
218,treino
219,treino
220,validacao
221,treino
222,teste
223,treino
224,treino
225,treino
226,treino
227,treino
228,treino
229,treino
230,validacao
231,validacao
232,treino
233,teste
234,teste
235,treino
236,treino
237,treino
238,treino
239,treino
240,treino
241,teste
242,treino
243,teste
244,treino
245,teste
246,validacao
247,treino
248,treino
249,teste
250,teste
251,treino
252,treino
253,treino
254,validacao
255,treino
256,treino
257,treino
258,treino
259,treino
260,treino
261,validacao
262,teste
263,treino
264,treino
265,treino
266,treino
267,treino
268,teste
269,treino
270,treino
271,validacao
272,treino
273,teste
274,treino
275,teste
276,treino
277,treino
278,treino
279,treino
280,validacao
281,treino
282,teste
283,treino
284,teste
285,treino
286,treino
287,treino
288,teste
289,validacao
290,teste
291,treino
292,treino
293,validacao
294,teste
295,treino
296,treino
297,treino
298,treino
299,treino
300,treino
301,validacao
302,treino
303,treino
304,treino
305,validacao
306,treino
307,teste
308,treino
309,treino
310,treino
311,validacao
312,treino
313,treino
314,teste
315,teste
316,treino
317,treino
318,treino
319,teste
320,treino
321,validacao
322,treino
323,treino
324,teste
325,treino
326,treino
327,treino
328,teste
329,validacao
330,treino
331,teste
332,validacao
333,treino
334,treino
335,validacao
336,treino
337,validacao
338,treino
339,treino
340,treino
341,treino
342,treino
343,teste
344,validacao
345,validacao
346,treino
347,treino
348,treino
349,treino
350,treino
351,validacao
352,teste
353,validacao
354,treino
355,teste
356,treino
357,treino
358,treino
359,teste
360,treino
361,treino
362,validacao
363,treino
364,treino
365,treino
366,teste
367,treino
368,treino
369,treino
370,treino
371,treino
372,treino
373,validacao
374,treino
375,treino
376,teste
377,validacao
